Designator,Mid X,Mid Y,Rotation,Layer
"C1-1",116.500000,-82.925000,45.000000,top
"C1-2",119.150000,-82.875000,45.000000,top
"C1-3",121.750000,-82.800000,45.000000,top
"C1-4",124.375000,-82.750000,45.000000,top
"C1-5",127.000000,-82.675000,45.000000,top
"C1-6",129.625000,-82.625000,45.000000,top
"C1-7",132.250000,-82.575000,45.000000,top
"C2-1",116.550000,-85.675000,45.000000,top
"C2-2",119.150000,-85.625000,45.000000,top
"C2-3",121.775000,-85.550000,45.000000,top
"C2-4",124.400000,-85.450000,45.000000,top
"C2-5",127.025000,-85.375000,45.000000,top
"C2-6",129.650000,-85.325000,45.000000,top
"C2-7",132.275000,-85.250000,45.000000,top
"C3-1",116.600000,-88.450000,45.000000,top
"C3-2",119.225000,-88.350000,45.000000,top
"C3-3",121.825000,-88.275000,45.000000,top
"C3-4",124.450000,-88.175000,45.000000,top
"C3-5",127.075000,-88.075000,45.000000,top
"C3-6",129.675000,-88.000000,45.000000,top
"C3-7",132.300000,-87.900000,45.000000,top
"C4-1",116.650000,-91.225000,45.000000,top
"C4-2",119.250000,-91.100000,45.000000,top
"C4-3",121.875000,-91.000000,45.000000,top
"C4-4",124.475000,-90.900000,45.000000,top
"C4-5",127.100000,-90.775000,45.000000,top
"C4-6",129.725000,-90.675000,45.000000,top
"C4-7",132.350000,-90.575000,45.000000,top
"C5-1",116.675000,-93.980000,45.000000,top
"C5-2",119.300000,-93.875000,45.000000,top
"C5-3",121.920000,-93.725000,45.000000,top
"C5-4",124.525000,-93.600000,45.000000,top
"C5-5",127.150000,-93.475000,45.000000,top
"C5-6",129.750000,-93.350000,45.000000,top
"C5-7",132.375000,-93.225000,45.000000,top
"C6-1",116.725000,-96.725000,45.000000,top
"C6-2",119.350000,-96.600000,45.000000,top
"C6-3",121.950000,-96.450000,45.000000,top
"C6-4",124.550000,-96.300000,45.000000,top
"C6-5",127.175000,-96.175000,45.000000,top
"C6-6",129.800000,-96.025000,45.000000,top
"C6-7",132.400000,-95.875000,45.000000,top
"C7-1",116.775000,-99.500000,45.000000,top
"C7-2",119.375000,-99.325000,45.000000,top
"C7-3",122.000000,-99.175000,45.000000,top
"C7-4",124.600000,-99.025000,45.000000,top
"C7-5",127.225000,-98.875000,45.000000,top
"C7-6",129.825000,-98.725000,45.000000,top
"C7-7",132.425000,-98.550000,45.000000,top
"C7-8",132.500000,-106.500000,-135.000000,top
"C7-9",129.900000,-106.700000,-135.000000,top
"C7-10",127.300000,-106.925000,-135.000000,top
"C7-11",124.700000,-107.150000,-135.000000,top
"C7-12",122.125000,-107.350000,-135.000000,top
"C7-13",119.475000,-107.575000,-135.000000,top
"C7-14",116.900000,-107.775000,-135.000000,top
"C8-1",116.825000,-102.250000,45.000000,top
"C8-2",119.425000,-102.075000,45.000000,top
"C8-3",122.050000,-101.900000,45.000000,top
"C8-4",124.650000,-101.725000,45.000000,top
"C8-5",127.250000,-101.550000,45.000000,top
"C8-6",129.850000,-101.375000,45.000000,top
"C8-7",132.475000,-101.200000,45.000000,top
"C8-8",132.500000,-103.850000,-135.000000,top
"C8-9",129.900000,-104.050000,-135.000000,top
"C8-10",127.275000,-104.250000,-135.000000,top
"C8-11",124.675000,-104.425000,-135.000000,top
"C8-12",122.075000,-104.625000,-135.000000,top
"C8-13",119.475000,-104.825000,-135.000000,top
"C8-14",116.850000,-105.025000,-135.000000,top
"C1",131.625000,-71.800000,-90.000000,bottom
"C2",129.850000,-71.800000,-90.000000,bottom
"C3",133.400000,-71.800000,-90.000000,bottom
"C4",114.975000,-71.600000,-90.000000,bottom
"C5",123.962500,-121.525000,-90.000000,bottom
"C6",126.237500,-121.525000,-90.000000,bottom
"D1",137.050000,-70.350000,180.000000,bottom
"J2",112.190000,-120.67500,0.000000,bottom
"LED1",133.825000,-123.575000,180.000000,bottom
"LS1",140.100000,-76.175000,180.000000,bottom
"Q1",144.625000,-88.300000,90.000000,bottom
"R1",118.110000,-74.295000,90.000000,bottom
"R2",125.462500,-115.500000,180.000000,bottom
"R3",128.712500,-120.750000,0.000000,bottom
"R4",133.800000,-122.025000,180.000000,bottom
"R5",135.925000,-88.150000,90.000000,bottom
"R6",129.175000,-76.575000,180.000000,bottom
"U1",107.800000,-78.750000,-90.000000,bottom
"U2",124.275000,-74.850000,180.000000,bottom
"U3",125.112500,-118.250000,-90.000000,bottom
